Data,consumo_cliente_3091901155,consumo_cliente_3095242070,consumo_cliente_4002595385,consumo_cliente_3095792772,consumo_cliente_3095080473,consumo_cliente_3091900857,consumo_cliente_3091900992,consumo_cliente_3091900961,consumo_cliente_3095680695
2013-05,100,581,?,?,948,3414,17951,316,?
2013-06,100,905,?,?,1156,3353,7541,298,?
2013-07,100,771,?,?,991,3317,2739,301,?
2013-08,100,873,?,?,1001,3404,1615,268,?
2013-09,100,1212,?,?,1011,3324,1570,578,?
2013-10,100,1978,?,?,3923,3416,1294,299,?
2013-11,4465,2936,?,?,1255,3275,835,301,?
2013-12,2780,2725,?,?,1429,3243,746,729,?
2014-01,3228,187730,?,?,1261,4404,947,343,?
2014-02,3540,207517,?,?,1288,3663,874,336,?
2014-03,13163,183009,?,?,1342,3383,10260,623,?
2014-04,2323,16818,?,?,1378,2993,11805,387,?
2014-05,13715,1814,?,?,1415,3527,6058,398,?
2014-06,3127,1936,?,?,1374,2988,3686,336,?
2014-07,3154,1929,?,?,1472,3500,2526,408,?
2014-08,2493,1565,?,?,1512,3492,2044,417,?
2014-09,4349,1663,?,?,1609,3100,4477,464,?
2014-10,702,1627,?,?,1604,3415,1007,420,?
2014-11,2925,95696,?,?,1411,2340,601,430,?
2014-12,3330,106998,?,?,635,3032,654,453,?
2015-01,3956,114060,?,?,1358,3319,778,417,30
2015-02,100,101381,?,?,1366,3229,796,424,30
2015-03,100,37872,?,?,750,3193,848,299,30
2015-04,100,1521,?,?,1323,4655,1423,404,30
2015-05,8557,1596,?,?,1319,3588,3946,405,30
2015-06,3553,1568,?,?,1311,2918,1898,30,30
2015-07,4756,1626,?,?,30,3366,3338,380,30
2015-08,3613,1650,?,?,30,3303,970,378,30
2015-09,3342,2107,?,?,30,3288,1895,48,30
2015-10,3013,1259,?,?,930,2614,712,280,30
2015-11,4397,9789,?,?,463,3237,266,254,30
2015-12,3307,33737,?,?,614,1289,939,256,30
2016-01,3355,86951,?,?,918,3166,561,297,30
2016-02,4799,63712,?,?,757,3647,354,287,30
2016-03,3379,23870,?,?,1101,3048,2377,943,30
2016-04,2775,582,?,?,735,3176,1177,330,30
2016-05,2302,1087,?,?,686,2813,171,324,30
2016-06,2598,1422,?,?,1701,3104,100,623,30
2016-07,2538,1541,?,?,1278,3004,912,366,30
2016-08,2802,1582,?,?,1099,3313,468,365,30
2016-09,2581,1531,?,?,1123,3095,133,984,30
2016-10,2489,1251,?,?,981,2865,149,442,608
2016-11,100,41147,?,?,708,2979,756,455,78
2016-12,2676,,?,?,846,2958,100,472,301
2017-01,4748,92835,?,?,1211,3562,923,1571,301
2017-02,4443,141406,?,?,1095,3075,884,777,414
2017-03,12553,80373,?,?,1214,3439,527,997,484
2017-04,10379,18024,?,?,1225,2731,861,642,197
2017-05,3831,1616,?,?,1027,2619,207,668,211
2017-06,1925,1607,?,?,965,2901,501,2147,649
2017-07,2255,1883,?,?,949,2677,100,823,476
2017-08,2553,1861,?,?,1351,2809,301,861,512
2017-09,2942,?,?,?,1068,2813,624,2280,512
2017-10,3020,?,?,?,964,2612,146,1011,352
2017-11,1405,?,?,?,887,2222,230,1058,374
2017-12,2249,?,?,30,1102,2819,128,1080,416
2018-01,3310,?,?,30,978,3770,244,1159,466
2018-02,3297,?,?,555,932,3436,316,1125,517
2018-03,11191,?,?,211,1055,4487,376,30,729
2018-04,4030,?,?,187,1042,3382,1266.9,1071,571
2018-05,18435,?,?,318,1027,3084,432.55,1107,571
2018-06,4718,?,?,55,638,3084,915.325,1144,559
2018-07,4950,?,?,265,999,4626,493.025,36,569
2018-08,319,?,?,265,1004,3262,493.025,994,569
2018-09,4989,?,?,32,2441,3300,493.025,1311,0
2018-10,5159,?,?,236,28,3652,227.55,925,506
2018-11,0,?,?,236,29,3427,502.25,918,506
2018-12,5221,?,?,129,5203,3527,235.75,1340,108
2019-01,5468,?,?,129,1753,3159,534.025,928,473
2019-02,0,?,?,129,1753,3536,557.6,908,473
2019-03,5373,?,?,439,1369,3544,583.225,1429,264
2019-04,4889,?,?,207,1689,1182,593.475,1009,431
2019-05,13526,?,?,207,1689,3282,537.1,1004,419
2019-06,4551,?,?,252,1791,3298,125.05,1382,184
2019-07,4537,?,?,213,1700,1466,479.7,1104,375
2019-08,0,?,?,213,1700,3053,478.675,1104,359
2019-09,4476,?,?,277,2096,3036,0,1259,17
2019-10,4433,?,?,220,1733,1348,508.4,1109,343
2019-11,0,1433,?,220,2043,2822,99.425,1125,329
2019-12,4373,54274,133486,298,972,2771,1892.15,1376,41
2020-01,4302,72759,262095,234,1691,2537,1892.15,1145,300
2020-02,0,70973,255791,242,1686,2656,1892.151,1163,39
2020-03,4205,49971,177055,396,440,2583,5330,1886,418
2020-04,4108,9357,38751,248,1603,2503,2752.125,1222,275
2020-05,4043,485,1101,252,1595,3822,2752.125,1240,262
2020-06,0,1783,891,375,2907,2658,11264.751,1575,418
2020-07,2873,2133,1682,266,1681,1826,1609.25,1276,268
2020-08,1324,1815,1573,270,1679,2635,0,1290,259
2020-09,2845,1956,1584,458,1611,2600,0,1323,282
2020-10,2709,1667,3355,290,1637,1387,0,1311,273
2020-11,3247,9383,8370,296,1629,2567,0,1328,267
2020-12,2836,18147,211600,644,802,2545,0,1472,511
2021-01,2708,?,287601,331,1580,2880,0,1353,311
2021-02,?,?,?,339,?,2555,70.725,?,?
